"None","Points:0","Points:1","Points:2"
56.464,5.7278e+05,3.8799e+06,-1e+05
57.379,5.7678e+05,3.8799e+06,-1e+05
58.328,5.8078e+05,3.8799e+06,-1e+05
59.599,5.8478e+05,3.8799e+06,-1e+05
61.339,5.8878e+05,3.8799e+06,-1e+05
63.106,5.9278e+05,3.8799e+06,-1e+05
65.875,5.9678e+05,3.8799e+06,-1e+05
69.08,6.0078e+05,3.8799e+06,-1e+05
72.582,6.0478e+05,3.8799e+06,-1e+05
76.703,6.0878e+05,3.8799e+06,-1e+05
80.756,6.1278e+05,3.8799e+06,-1e+05
84.059,6.1678e+05,3.8799e+06,-1e+05
85.863,6.2078e+05,3.8799e+06,-1e+05
85.056,6.2478e+05,3.8799e+06,-1e+05
76.088,6.2878e+05,3.8799e+06,-1e+05
65.705,6.3278e+05,3.8799e+06,-1e+05
47.899,6.3678e+05,3.8799e+06,-1e+05
39.943,6.4078e+05,3.8799e+06,-1e+05
25.158,6.4478e+05,3.8799e+06,-1e+05
19.264,6.4878e+05,3.8799e+06,-1e+05
19.447,6.5278e+05,3.8799e+06,-1e+05
20.395,6.5678e+05,3.8799e+06,-1e+05
21.21,6.6078e+05,3.8799e+06,-1e+05
21.525,6.6478e+05,3.8799e+06,-1e+05
21.673,6.6878e+05,3.8799e+06,-1e+05
21.473,6.7278e+05,3.8799e+06,-1e+05
24.958,6.7678e+05,3.8799e+06,-1e+05
36.045,6.8078e+05,3.8799e+06,-1e+05
40.612,6.8478e+05,3.8799e+06,-1e+05
52.892,6.8878e+05,3.8799e+06,-1e+05
65.299,6.9278e+05,3.8799e+06,-1e+05
56.689,4.1278e+05,3.8839e+06,-1e+05
57.449,4.1678e+05,3.8839e+06,-1e+05
57.566,4.2078e+05,3.8839e+06,-1e+05
57.6,4.2478e+05,3.8839e+06,-1e+05
57.583,4.2878e+05,3.8839e+06,-1e+05
57.568,4.3278e+05,3.8839e+06,-1e+05
57.499,4.3678e+05,3.8839e+06,-1e+05
57.389,4.4078e+05,3.8839e+06,-1e+05
57.199,4.4478e+05,3.8839e+06,-1e+05
56.974,4.4878e+05,3.8839e+06,-1e+05
56.693,4.5278e+05,3.8839e+06,-1e+05
56.412,4.5678e+05,3.8839e+06,-1e+05
56.123,4.6078e+05,3.8839e+06,-1e+05
55.874,4.6478e+05,3.8839e+06,-1e+05
55.641,4.6878e+05,3.8839e+06,-1e+05
55.379,4.7278e+05,3.8839e+06,-1e+05
55.131,4.7678e+05,3.8839e+06,-1e+05
54.9,4.8078e+05,3.8839e+06,-1e+05
54.668,4.8478e+05,3.8839e+06,-1e+05
54.432,4.8878e+05,3.8839e+06,-1e+05
54.225,4.9278e+05,3.8839e+06,-1e+05
54.059,4.9678e+05,3.8839e+06,-1e+05
53.896,5.0078e+05,3.8839e+06,-1e+05
53.738,5.0478e+05,3.8839e+06,-1e+05
53.614,5.0878e+05,3.8839e+06,-1e+05
53.492,5.1278e+05,3.8839e+06,-1e+05
53.406,5.1678e+05,3.8839e+06,-1e+05
53.343,5.2078e+05,3.8839e+06,-1e+05
53.316,5.2478e+05,3.8839e+06,-1e+05
53.328,5.2878e+05,3.8839e+06,-1e+05
53.386,5.3278e+05,3.8839e+06,-1e+05
53.474,5.3678e+05,3.8839e+06,-1e+05
53.622,5.4078e+05,3.8839e+06,-1e+05
53.814,5.4478e+05,3.8839e+06,-1e+05
54.08,5.4878e+05,3.8839e+06,-1e+05
54.384,5.5278e+05,3.8839e+06,-1e+05
54.768,5.5678e+05,3.8839e+06,-1e+05
55.302,5.6078e+05,3.8839e+06,-1e+05
55.898,5.6478e+05,3.8839e+06,-1e+05
56.593,5.6878e+05,3.8839e+06,-1e+05
57.502,5.7278e+05,3.8839e+06,-1e+05
58.638,5.7678e+05,3.8839e+06,-1e+05
60.024,5.8078e+05,3.8839e+06,-1e+05
61.93,5.8478e+05,3.8839e+06,-1e+05
64.115,5.8878e+05,3.8839e+06,-1e+05
67.022,5.9278e+05,3.8839e+06,-1e+05
71.027,5.9678e+05,3.8839e+06,-1e+05
75.678,6.0078e+05,3.8839e+06,-1e+05
79.449,6.0478e+05,3.8839e+06,-1e+05
82.684,6.0878e+05,3.8839e+06,-1e+05
82.473,6.1278e+05,3.8839e+06,-1e+05
78.17,6.1678e+05,3.8839e+06,-1e+05
69.87,6.2078e+05,3.8839e+06,-1e+05
61.987,6.2478e+05,3.8839e+06,-1e+05
47.032,6.2878e+05,3.8839e+06,-1e+05
