"None","Points:0","Points:1","Points:2"
61.605,5.9278e+05,3.8879e+06,-80000
62.521,5.9678e+05,3.8879e+06,-80000
63.509,6.0078e+05,3.8879e+06,-80000
64.572,6.0478e+05,3.8879e+06,-80000
65.861,6.0878e+05,3.8879e+06,-80000
67.364,6.1278e+05,3.8879e+06,-80000
68.972,6.1678e+05,3.8879e+06,-80000
70.651,6.2078e+05,3.8879e+06,-80000
72.27,6.2478e+05,3.8879e+06,-80000
73.939,6.2878e+05,3.8879e+06,-80000
75.392,6.3278e+05,3.8879e+06,-80000
76.66,6.3678e+05,3.8879e+06,-80000
77.364,6.4078e+05,3.8879e+06,-80000
77.824,6.4478e+05,3.8879e+06,-80000
77.961,6.4878e+05,3.8879e+06,-80000
77.527,6.5278e+05,3.8879e+06,-80000
76.582,6.5678e+05,3.8879e+06,-80000
75.475,6.6078e+05,3.8879e+06,-80000
74.234,6.6478e+05,3.8879e+06,-80000
72.931,6.6878e+05,3.8879e+06,-80000
71.62,6.7278e+05,3.8879e+06,-80000
70.397,6.7678e+05,3.8879e+06,-80000
69.214,6.8078e+05,3.8879e+06,-80000
68.108,6.8478e+05,3.8879e+06,-80000
67.244,6.8878e+05,3.8879e+06,-80000
66.421,6.9278e+05,3.8879e+06,-80000
61.584,4.1278e+05,3.8919e+06,-80000
61.877,4.1678e+05,3.8919e+06,-80000
61.675,4.2078e+05,3.8919e+06,-80000
61.04,4.2478e+05,3.8919e+06,-80000
61,4.2878e+05,3.8919e+06,-80000
60.682,4.3278e+05,3.8919e+06,-80000
60.823,4.3678e+05,3.8919e+06,-80000
61.455,4.4078e+05,3.8919e+06,-80000
62.439,4.4478e+05,3.8919e+06,-80000
63.835,4.4878e+05,3.8919e+06,-80000
65.287,4.5278e+05,3.8919e+06,-80000
65.426,4.5678e+05,3.8919e+06,-80000
65.796,4.6078e+05,3.8919e+06,-80000
64.991,4.6478e+05,3.8919e+06,-80000
64.267,4.6878e+05,3.8919e+06,-80000
62.932,4.7278e+05,3.8919e+06,-80000
61.646,4.7678e+05,3.8919e+06,-80000
60.429,4.8078e+05,3.8919e+06,-80000
59.39,4.8478e+05,3.8919e+06,-80000
58.564,4.8878e+05,3.8919e+06,-80000
58.242,4.9278e+05,3.8919e+06,-80000
58.053,4.9678e+05,3.8919e+06,-80000
57.911,5.0078e+05,3.8919e+06,-80000
57.703,5.0478e+05,3.8919e+06,-80000
57.426,5.0878e+05,3.8919e+06,-80000
57.266,5.1278e+05,3.8919e+06,-80000
57.089,5.1678e+05,3.8919e+06,-80000
56.973,5.2078e+05,3.8919e+06,-80000
56.894,5.2478e+05,3.8919e+06,-80000
56.862,5.2878e+05,3.8919e+06,-80000
56.837,5.3278e+05,3.8919e+06,-80000
56.875,5.3678e+05,3.8919e+06,-80000
56.922,5.4078e+05,3.8919e+06,-80000
56.988,5.4478e+05,3.8919e+06,-80000
57.118,5.4878e+05,3.8919e+06,-80000
57.252,5.5278e+05,3.8919e+06,-80000
57.434,5.5678e+05,3.8919e+06,-80000
57.701,5.6078e+05,3.8919e+06,-80000
57.99,5.6478e+05,3.8919e+06,-80000
58.305,5.6878e+05,3.8919e+06,-80000
58.724,5.7278e+05,3.8919e+06,-80000
59.196,5.7678e+05,3.8919e+06,-80000
59.709,5.8078e+05,3.8919e+06,-80000
60.364,5.8478e+05,3.8919e+06,-80000
61.052,5.8878e+05,3.8919e+06,-80000
61.827,5.9278e+05,3.8919e+06,-80000
62.852,5.9678e+05,3.8919e+06,-80000
63.919,6.0078e+05,3.8919e+06,-80000
65.126,6.0478e+05,3.8919e+06,-80000
66.602,6.0878e+05,3.8919e+06,-80000
68.34,6.1278e+05,3.8919e+06,-80000
70.081,6.1678e+05,3.8919e+06,-80000
72.025,6.2078e+05,3.8919e+06,-80000
73.909,6.2478e+05,3.8919e+06,-80000
75.803,6.2878e+05,3.8919e+06,-80000
77.56,6.3278e+05,3.8919e+06,-80000
78.777,6.3678e+05,3.8919e+06,-80000
79.89,6.4078e+05,3.8919e+06,-80000
80.38,6.4478e+05,3.8919e+06,-80000
80.596,6.4878e+05,3.8919e+06,-80000
80.184,6.5278e+05,3.8919e+06,-80000
79.395,6.5678e+05,3.8919e+06,-80000
78.11,6.6078e+05,3.8919e+06,-80000
76.856,6.6478e+05,3.8919e+06,-80000
75.292,6.6878e+05,3.8919e+06,-80000
73.834,6.7278e+05,3.8919e+06,-80000
72.688,6.7678e+05,3.8919e+06,-80000
71.182,6.8078e+05,3.8919e+06,-80000
70.045,6.8478e+05,3.8919e+06,-80000
69.159,6.8878e+05,3.8919e+06,-80000
68.132,6.9278e+05,3.8919e+06,-80000
63.347,4.1278e+05,3.8959e+06,-80000
63.156,4.1678e+05,3.8959e+06,-80000
62.81,4.2078e+05,3.8959e+06,-80000
