"None","Points:0","Points:1","Points:2"
82.233,5.5278e+05,3.9559e+06,-1.7534e+05
84.601,5.5278e+05,3.9599e+06,-1.7534e+05
84.972,5.5278e+05,3.9639e+06,-1.7534e+05
84.444,5.5278e+05,3.9679e+06,-1.7534e+05
84.127,5.5278e+05,3.9719e+06,-1.7534e+05
83.95,5.5278e+05,3.9759e+06,-1.7534e+05
84.074,5.5278e+05,3.9799e+06,-1.7534e+05
84.505,5.5278e+05,3.9839e+06,-1.7534e+05
84.884,5.5278e+05,3.9879e+06,-1.7534e+05
84.922,5.5278e+05,3.9919e+06,-1.7534e+05
85.512,5.5278e+05,3.9959e+06,-1.7534e+05
85.829,5.5278e+05,3.9999e+06,-1.7534e+05
85.865,5.5278e+05,4.0039e+06,-1.7534e+05
85.545,5.5278e+05,4.0079e+06,-1.7534e+05
84.818,5.5278e+05,4.0119e+06,-1.7534e+05
83.365,5.5278e+05,4.0159e+06,-1.7534e+05
82.042,5.5278e+05,4.0199e+06,-1.7534e+05
80.42,5.5278e+05,4.0239e+06,-1.7534e+05
78.701,5.5278e+05,4.0279e+06,-1.7534e+05
76.323,5.5278e+05,4.0319e+06,-1.7534e+05
73.48,5.5278e+05,4.0359e+06,-1.7534e+05
70.318,5.5278e+05,4.0399e+06,-1.7534e+05
66.613,5.5278e+05,4.0439e+06,-1.7534e+05
64.101,5.5278e+05,4.0479e+06,-1.7534e+05
61.314,5.5278e+05,4.0519e+06,-1.7534e+05
57.779,5.5278e+05,4.0559e+06,-1.7534e+05
51.792,5.5278e+05,4.0599e+06,-1.7534e+05
45.529,5.5278e+05,4.0639e+06,-1.7534e+05
41.326,5.5278e+05,4.0679e+06,-1.7534e+05
39.373,5.5278e+05,4.0719e+06,-1.7534e+05
38.828,5.5278e+05,4.0759e+06,-1.7534e+05
38.304,5.5278e+05,4.0799e+06,-1.7534e+05
38.376,5.5278e+05,4.0839e+06,-1.7534e+05
38.167,5.5278e+05,4.0879e+06,-1.7534e+05
38.196,5.5278e+05,4.0919e+06,-1.7534e+05
38.44,5.5278e+05,4.0959e+06,-1.7534e+05
80.309,5.5278e+05,3.8639e+06,-1.7251e+05
79.737,5.5278e+05,3.8679e+06,-1.7251e+05
78.874,5.5278e+05,3.8719e+06,-1.7251e+05
77.678,5.5278e+05,3.8759e+06,-1.7251e+05
76.251,5.5278e+05,3.8799e+06,-1.7251e+05
74.767,5.5278e+05,3.8839e+06,-1.7251e+05
72.98,5.5278e+05,3.8879e+06,-1.7251e+05
